video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=GWOu4nuxhw8&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@CBSNews,CBS News,The impact of climate change on severe weather,16K,1 month,"In this episode of “Protecting the Planet,” CBS News senior environmental correspondent Ben Tracy explores the connection ...",2024-01-29 19:47:14.827606
/watch?v=FM84zkqY8ZA&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@dwnews,DW News,Keeping the peace as climate change fuels conflict in Africa | DW News,11K,1 day,The Sahel is one of the world's most vulnerable areas to climate change. Intense drought and flooding are common in the region ...,2024-01-29 19:47:14.828967
/watch?v=oJAbATJCugs&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@NatGeo,National Geographic,Global Warming 101 | National Geographic,5.3M,16 years,#NationalGeographic #GlobalWarming #Educational About National Geographic's 101 Series: Explore and experience the forces ...,2024-01-29 19:47:14.830258
/watch?v=vjZnUl3OkCI&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@EnglishSpeakingSuccess,English Speaking Success,How to talk about CLIMATE CHANGE in English,635K,2 years,_____ How do you talk about Climate Change in English and with confidence? …let's find out. I am going to take you on a rather ...,2024-01-29 19:47:14.832092
/watch?v=lThF3JOaYV8&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@Reuters,Reuters,Climate change drives Amazon's drought: study | REUTERS,931,4 days,"Climate change is the main culprit for a record drought in the Amazon rainforest that has drained rivers, killed endangered ...",2024-01-29 19:47:14.833457
/shorts/Re5jtsyhDFA,/@msnbc,MSNBC,Bill Nye on how to address climate change,232K,5 months,"Bill Nye invokes the film ""Oppenheimer"" when explaining how we should address climate change. » Subscribe to MSNBC: ...",2024-01-29 19:47:14.835327
/watch?v=EuwMB1Dal-4&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@ClickView,ClickView,What is Climate Change? Explore the Causes of Climate Change,400K,2 years,This video defines climate change and explains the greenhouse effect and the role of greenhouse gases in our atmosphere.,2024-01-29 19:47:14.837171
/shorts/VKA_hDzdBSY,/@CBCTheNational,CBC News: The National,Climate change is changing Canadian winters,16K,2 years,"New climate data out this week shows that 2021 was a hot year — the sixth hottest on record, according to NASA. Probably not ...",2024-01-29 19:47:14.838594
/watch?v=dXw9_m8fN-s&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/channel/UC11YzVs4e4h9kIt4VzUS6yQ,Oli Frost,The Dragon of Climate Change (Music Video),48K,1 year,Lyrics: There once was a terrible dragon Whose name was climate change He slept atop a mountain As he'd done for an age 'Til ...,2024-01-29 19:47:14.839936
/watch?v=Lq0iua0r0KQ&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@OxfordUnion,OxfordUnion,Climate Change Debate | Kriti Joshi | Opposition,4.8M,7 years,The Motion: This House Believes The West Has No Right to Impose Environmental Standards on Developing Countries Kriti Joshi ...,2024-01-29 19:47:14.841301
/watch?v=Wpy4xBftFuY&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@BBCNews,BBC News,Arnold Schwarzenegger calls leaders 'liars' over climate change - BBC News,988K,2 years,"Actor and former governor of California, Arnold Schwarzenegger, has become a champion of clean air and renewable energy, ...",2024-01-29 19:47:14.842776
/watch?v=bJfrKNR3K2k&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@ForbesBreakingNews,Forbes Breaking News,'What Percent Of Our Atmosphere Is CO2?': Doug LaMalfa Stumps Entire Panel With Climate Questions,2.4M,9 months,Rep. Doug LaMalfa (R-CA) questioned witnesses at a House Transportation Committee about the Infrastructure Investment and ...,2024-01-29 19:47:14.844361
/watch?v=tqcDyHdbYd4&pp=ygUOY2xpbWF0ZSBjaGFuZ2U%3D,/@telegraph,The Telegraph,Greta Thunberg’s climate crusade is heading for defeat | Michael Shellenberger interview,475K,2 months,"Michael Shellenberger is an environmentalist, author, and advocate for pragmatic solutions to climate change. He joins Steven ...",2024-01-29 19:47:14.845809
/watch?v=oJAbATJCugs&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@NatGeo,National Geographic,Global Warming 101 | National Geographic,5.3M,16 years,#NationalGeographic #GlobalWarming #Educational About National Geographic's 101 Series: Explore and experience the forces ...,2024-01-29 19:47:31.193771
/watch?v=wkqDJwTIg_E&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@pbsterra,PBS Terra,"Earth's Temperature Has Changed WILDLY, So What's the Big Deal About a Few Degrees?",140K,1 month,"If you take a look at global temperature graphs that span millions or billions of years, you can see that our planet's temperature ...",2024-01-29 19:47:31.196902
/watch?v=n5DXniZGkME&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@ABCNewsIndepth,ABC News In-depth,"There are 8 billion people on Earth, but soon we’ll hit a decline we might never reverse | ABC News",997K,1 year,"ABC News In-depth takes you deeper on the big stories, with long-form journalism from Four Corners, Foreign Correspondent, ...",2024-01-29 19:47:31.199705
/watch?v=QAAbcNl4Lb8&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@frontline,FRONTLINE PBS | Official,The Power of Big Oil Part One: Denial (full documentary) | FRONTLINE,2.5M,1 year,Go inside the decades-long failure to confront the threat and increasing impacts of climate change in “The Power of Big Oil.,2024-01-29 19:47:31.202603
/watch?v=N6t6QHQtdVw&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Peekaboo_Kidz,Peekaboo Kidz,Climate Change 101 | Keep The Environment Safe | The Dr Binocs Show | Peekaboo Kidz,1.1M,1 year,Climate | How To Keep The Environment Safe? | Global Warming | Climate Change | What Causes Global Warming?,2024-01-29 19:47:31.206321
/watch?v=LwRTw_7NNJs&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@nasaclimatechange,NASA Climate Change,Global Warming from 1880 to 2022,131K,1 year,"Earth's average surface temperature in 2022 tied with 2015 as the fifth warmest on record, according to an analysis by NASA.",2024-01-29 19:47:31.208742
/watch?v=uynhvHZUOOo&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@TheEconomist,The Economist,See what three degrees of global warming looks like,3.6M,2 years,"If global temperatures rise three degrees Celsius above pre-industrial levels, the results would be catastrophic. It's an entirely ...",2024-01-29 19:47:31.212444
/watch?v=IhtysFlWz3k&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@globalnews,Global News,Earth breaches critical warming threshold,22K,2 months,"There is a new, troubling indicator about global warming from the Copernicus Climate Change Service (C3S). The service says ...",2024-01-29 19:47:31.215088
/watch?v=pEt6-jA2UE4&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@DWDocumentary,DW Documentary,Climate change - Averting catastrophe | DW Documentary,2.1M,6 months,"In the last 30 years, CO2 emissions have increased by 60 percent worldwide. The most pressing problem facing our civilization is ...",2024-01-29 19:47:31.217735
/watch?v=J1KGnCj_cfM&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SabineHossenfelder,Sabine Hossenfelder,How do we know climate change is caused by humans?,231K,4 days,In this video I summarize the main pieces of evidence that we have which show that climate change is caused by humans. This is ...,2024-01-29 19:47:31.220499
/watch?v=G9t__9Tmwv4&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@Scienceabc,Science ABC,Climate Change and Global Warming: Explained in Simple Words for Beginners,166K,1 year,The term climate change is used to denote the long-term changes in the weather patterns in a given region. Another term often ...,2024-01-29 19:47:31.224315
/watch?v=9xCaalQeAbY&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@SimonClark,Simon Clark,Global Warming: The Century We Saved Earth,61K,1 month,"In this documentary I present a fictional, optimistic account of the 21st century, told retrospectively from the year 2100. This isn't ...",2024-01-29 19:47:31.226869
/watch?v=LxgMdjyw8uw&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@kurzgesagt,Kurzgesagt – In a Nutshell,We WILL Fix Climate Change!,10M,1 year,Our home is burning. Rapid climate change is destabilizing our world. It seems our emissions will not fall quickly enough to avoid ...,2024-01-29 19:47:31.229539
/watch?v=ldLBoErAhz4&pp=ygUOZ2xvYmFsIHdhcm1pbmc%3D,/@eons,PBS Eons,The Last Time the Globe Warmed,8.6M,6 years,... http://all-geo.org/highlyallochthonous/2010/01/coal-and-the-fossil-record-of-climate-change-in-the-canadian-high-arctic/ ...,2024-01-29 19:47:31.232311
